race/ethnicity,parental level of education,test preparation course,math score,reading score,writing score
group A,high school,none,55,73,73
group C,some high school,completed,29,40,44
group C,some college,completed,70,89,88
group E,some high school,none,38,49,45
group D,high school,none,54,52,52
group A,some college,completed,81,78,81
group D,associate's degree,none,40,52,43
group D,associate's degree,none,77,77,73
group E,high school,none,74,81,71
group B,high school,completed,77,82,89
group D,some college,completed,65,77,74
group B,high school,none,62,55,54
group B,associate's degree,completed,61,86,87
group C,bachelor's degree,none,83,78,73
group B,some high school,completed,60,70,70
group C,bachelor's degree,completed,92,100,99
group B,high school,completed,72,65,68
group D,high school,none,42,39,34
group B,associate's degree,none,53,70,70
group C,associate's degree,completed,68,67,69
group C,some high school,none,0,17,10
group D,associate's degree,none,75,66,73
group C,associate's degree,none,57,78,67
group D,some high school,completed,40,65,64
group B,high school,completed,46,54,58
group D,some high school,none,48,54,53
group A,some college,completed,61,51,52
group D,some college,none,88,77,77
group C,bachelor's degree,completed,83,82,84
group D,some college,completed,58,63,73
group C,master's degree,completed,69,84,85
group B,bachelor's degree,none,55,59,54
group D,bachelor's degree,none,29,41,47
group D,master's degree,none,64,63,66
group D,some college,none,76,64,66
group C,associate's degree,none,91,86,84
group A,high school,none,57,43,47
group D,high school,none,67,72,74
group D,some high school,completed,97,100,100
group E,associate's degree,completed,82,85,86
group B,some high school,completed,94,86,87
group E,high school,none,57,58,57
group E,high school,completed,74,79,80
group A,associate's degree,completed,79,82,82
group D,associate's degree,none,77,78,73
group D,master's degree,none,62,70,75
group C,high school,none,62,67,58
group E,high school,none,94,73,71
group D,high school,none,66,74,69
group B,some college,none,19,38,32
group D,high school,none,53,52,42
group D,some high school,completed,62,66,68
group D,some high school,none,73,84,85
group E,associate's degree,completed,95,89,92
group D,high school,none,62,64,64
group B,high school,none,58,62,59
group D,associate's degree,none,71,71,74
group A,some college,completed,72,79,82
group C,master's degree,completed,81,91,87
group C,bachelor's degree,none,65,72,74
group E,bachelor's degree,none,37,45,38
group D,some college,none,79,86,81
group D,bachelor's degree,none,63,73,78
group E,some high school,completed,73,67,59
group E,some college,completed,63,72,70
group C,bachelor's degree,completed,66,74,81
group A,master's degree,none,50,53,58
group E,some college,none,100,92,97
group E,bachelor's degree,completed,76,62,66
group C,some college,completed,67,81,79
group C,some college,none,46,64,66
group B,master's degree,completed,77,97,94
group D,bachelor's degree,completed,71,76,83
group B,associate's degree,none,57,69,68
group C,associate's degree,none,68,65,61
group D,some college,completed,70,78,78
group D,some college,completed,100,97,99
group C,high school,none,41,46,43
group B,bachelor's degree,none,63,71,69
group C,some high school,completed,77,90,85
group D,bachelor's degree,none,78,82,79
group C,some high school,completed,67,73,68
group A,bachelor's degree,none,66,64,62
group C,master's degree,none,61,67,66
group C,some college,none,53,44,42
group D,some high school,none,68,71,75
group C,associate's degree,none,65,76,76
group C,some high school,completed,50,60,60
group C,high school,none,61,73,63
group B,some high school,none,24,38,27
group B,high school,none,82,82,80
group D,some college,completed,63,55,63
group D,high school,none,69,72,77
group A,associate's degree,completed,40,55,53
group E,some college,none,83,80,73
group C,high school,none,66,71,76
group B,some college,none,58,50,45
group C,some college,none,59,62,64
group E,bachelor's degree,none,64,73,70
group C,master's degree,completed,62,68,75
group B,associate's degree,none,48,43,45
group B,some high school,completed,85,84,78
group A,high school,none,53,58,44
group C,associate's degree,none,65,77,74
group A,some high school,completed,62,67,69
group D,high school,none,75,74,66
group E,high school,none,73,64,57
group B,bachelor's degree,none,48,51,46
group D,associate's degree,completed,42,61,58
group E,high school,none,41,45,40
